2026-08-06 10:10:26.809 [0x000029f8] INFO  WCS - 	[Parse] orderCode=SIM-WV-001 items=200 SKU=200 qty=200 elapsed=0ms
2026-08-06 10:10:27.245 [0x000033c4] INFO  WCS - 	[WaveMgr] 波次注册 orderCode=SIM-WV-001 qty=200 SKU=200
2026-08-06 10:10:27.245 [0x000033c4] INFO  WCS - 	[WaveMgr] 状态转换 0(空闲) -> 1(已下发)
2026-08-06 10:10:27.245 [0x000033c4] INFO  WCS - 	[WaveMgr] 接收inco集合 size=200
2026-08-06 10:10:28.812 [0x000033c4] WARN  WCS - <391>	<WaveManager::triggerFullbox>,[WaveMgr] 满箱触发失败 当前状态非SORTING status=1(已下发)
2026-08-06 10:10:29.112 [0x000033c4] WARN  WCS - <391>	<WaveManager::triggerFullbox>,[WaveMgr] 满箱触发失败 当前状态非SORTING status=1(已下发)
2026-08-06 10:10:29.417 [0x000033c4] WARN  WCS - <391>	<WaveManager::triggerFullbox>,[WaveMgr] 满箱触发失败 当前状态非SORTING status=1(已下发)
2026-08-06 10:10:29.718 [0x000033c4] WARN  WCS - <391>	<WaveManager::triggerFullbox>,[WaveMgr] 满箱触发失败 当前状态非SORTING status=1(已下发)
2026-08-06 10:10:30.019 [0x000033c4] WARN  WCS - <391>	<WaveManager::triggerFullbox>,[WaveMgr] 满箱触发失败 当前状态非SORTING status=1(已下发)
2026-08-06 10:10:30.320 [0x000033c4] WARN  WCS - <391>	<WaveManager::triggerFullbox>,[WaveMgr] 满箱触发失败 当前状态非SORTING status=1(已下发)
2026-08-06 10:10:35.537 [0x00009c3c] INFO  WCS - 	[WaveMgr] H5取消 尝试获取互斥锁 order=SIM-WV-001
2026-08-06 10:10:35.537 [0x00009c3c] INFO  WCS - 	[WaveMgr] H5取消 已获取互斥锁 order=SIM-WV-001
2026-08-06 10:10:35.537 [0x00009c3c] INFO  WCS - 	[WaveMgr] H5取消 分拣判定 started=0 status=1 sorted=0 exception=0 order=SIM-WV-001
2026-08-06 10:10:35.537 [0x00009c3c] INFO  WCS - 	[WaveMgr] 状态转换 1(已下发) -> 6(已取消)
2026-08-06 10:10:35.537 [0x00009c3c] INFO  WCS - 	[WaveMgr] H5取消成功 order=SIM-WV-001 1→CANCELLED
2026-08-06 14:57:26.658 [0x0000af88] INFO  WCS - 	[Parse] orderCode=SIM-WV-001 items=200 SKU=200 qty=200 elapsed=1ms
2026-08-06 14:57:26.661 [0x0000cd54] INFO  WCS - 	[WaveMgr] 波次注册 orderCode=SIM-WV-001 qty=200 SKU=200
2026-08-06 14:57:26.661 [0x0000cd54] INFO  WCS - 	[WaveMgr] 状态转换 0(空闲) -> 1(已下发)
2026-08-06 14:57:26.661 [0x0000cd54] INFO  WCS - 	[WaveMgr] 接收inco集合 size=200
2026-08-06 14:57:26.661 [0x0000cd54] INFO  WCS - 	[WaveMgr] 状态转换 1(已下发) -> 2(已绑定)
2026-08-06 14:57:28.681 [0x0000cd54] WARN  WCS - <391>	<WaveManager::triggerFullbox>,[WaveMgr] 满箱触发失败 当前状态非SORTING status=2(已绑定)
2026-08-06 14:57:28.980 [0x0000cd54] WARN  WCS - <391>	<WaveManager::triggerFullbox>,[WaveMgr] 满箱触发失败 当前状态非SORTING status=2(已绑定)
2026-08-06 14:57:29.281 [0x0000cd54] WARN  WCS - <391>	<WaveManager::triggerFullbox>,[WaveMgr] 满箱触发失败 当前状态非SORTING status=2(已绑定)
2026-08-06 14:57:29.584 [0x0000cd54] WARN  WCS - <391>	<WaveManager::triggerFullbox>,[WaveMgr] 满箱触发失败 当前状态非SORTING status=2(已绑定)
2026-08-06 14:57:29.884 [0x0000cd54] WARN  WCS - <391>	<WaveManager::triggerFullbox>,[WaveMgr] 满箱触发失败 当前状态非SORTING status=2(已绑定)
2026-08-06 14:57:30.185 [0x0000cd54] WARN  WCS - <391>	<WaveManager::triggerFullbox>,[WaveMgr] 满箱触发失败 当前状态非SORTING status=2(已绑定)
2026-08-06 14:57:30.526 [0x0000c180] INFO  WCS - 	[WaveMgr] 状态转换 2(已绑定) -> 3(分拣中)
2026-08-06 14:57:30.526 [0x0000c180] INFO  WCS - 	[WaveMgr] 开工成功 BOUND→SORTING orderCode=SIM-WV-001
2026-08-06 14:57:37.432 [0x000071c4] INFO  WCS - 	[WaveMgr] H5取消 尝试获取互斥锁 order=SIM-WV-001
2026-08-06 14:57:37.433 [0x000071c4] INFO  WCS - 	[WaveMgr] H5取消 已获取互斥锁 order=SIM-WV-001
2026-08-06 14:57:37.433 [0x000071c4] INFO  WCS - 	[WaveMgr] H5取消 分拣判定 started=1 status=3 sorted=20 exception=0 order=SIM-WV-001
2026-08-06 14:57:37.433 [0x000071c4] WARN  WCS - <591>	<WaveManager::tryCancelWave>,[WaveMgr] H5取消失败 已分拣 order=SIM-WV-001 sorted=20 exception=0 status=3
2026-08-06 14:58:28.801 [0x0000aec0] INFO  WCS - 	[Parse] orderCode=SIM-WV-001 items=200 SKU=200 qty=200 elapsed=0ms
2026-08-06 14:58:28.823 [0x0000cd54] INFO  WCS - 	[WaveMgr] 波次注册 orderCode=SIM-WV-001 qty=200 SKU=200
2026-08-06 14:58:28.824 [0x0000cd54] INFO  WCS - 	[WaveMgr] 状态转换 0(空闲) -> 1(已下发)
2026-08-06 14:58:28.824 [0x0000cd54] INFO  WCS - 	[WaveMgr] 接收inco集合 size=200
2026-08-06 14:58:28.824 [0x0000cd54] INFO  WCS - 	[WaveMgr] 状态转换 1(已下发) -> 2(已绑定)
2026-08-06 14:58:30.815 [0x0000cd54] WARN  WCS - <391>	<WaveManager::triggerFullbox>,[WaveMgr] 满箱触发失败 当前状态非SORTING status=2(已绑定)
2026-08-06 14:58:31.118 [0x0000cd54] WARN  WCS - <391>	<WaveManager::triggerFullbox>,[WaveMgr] 满箱触发失败 当前状态非SORTING status=2(已绑定)
2026-08-06 14:58:31.417 [0x0000cd54] WARN  WCS - <391>	<WaveManager::triggerFullbox>,[WaveMgr] 满箱触发失败 当前状态非SORTING status=2(已绑定)
2026-08-06 14:58:31.719 [0x0000cd54] WARN  WCS - <391>	<WaveManager::triggerFullbox>,[WaveMgr] 满箱触发失败 当前状态非SORTING status=2(已绑定)
2026-08-06 14:58:32.018 [0x0000cd54] WARN  WCS - <391>	<WaveManager::triggerFullbox>,[WaveMgr] 满箱触发失败 当前状态非SORTING status=2(已绑定)
2026-08-06 14:58:32.319 [0x0000cd54] WARN  WCS - <391>	<WaveManager::triggerFullbox>,[WaveMgr] 满箱触发失败 当前状态非SORTING status=2(已绑定)
